Países,Ranking de la Corrupción,Índice de Corrupción,Var.
Níger [+],124º,31,"-3,13%"
Nigeria [+],154º,24,"-4,00%"
Nicaragua [+],164º,20,"-9,09%"
Países Bajos [+],8º,82,0
Noruega [+],4º,85,"1,19%"
Nepal [+],117º,33,0
Nueva Zelanda [+],1º,88,0
Omán [+],56º,52,"-3,70%"
Panamá [+],105º,36,"2,86%"
Perú [+],105º,36,"-5,26%"
Papúa Nueva Guinea [+],124º,31,"14,81%"
Filipinas [+],117º,33,"-2,94%"
Pakistán [+],140º,28,"-9,68%"
Polonia [+],42º,56,0
Paraguay [+],128º,30,"7,14%"
Catar [+],31º,63,0
Rumanía [+],66º,45,"2,27%"
Serbia [+],96º,38,0
Rusia [+],136º,29,"-3,33%"
Ruanda [+],52º,53,"-1,85%"
Arabia Saudita [+],52º,53,0
Islas Salomón [+],73º,43,"2,38%"
Seychelles [+],23º,70,"6,06%"
Sudán [+],164º,20,"25,00%"
Suecia [+],4º,85,0
Singapur [+],4º,85,0
Eslovenia [+],41º,57,"-5,00%"
Eslovaquia [+],56º,52,"6,12%"
Sierra Leona [+],115º,34,"3,03%"
Senegal [+],73º,43,"-4,44%"
Somalia [+],178º,13,"8,33%"
Surinam [+],87º,39,"2,63%"
Sudán del Sur [+],180º,11,"-8,33%"
Santo Tomé y Príncipe [+],66º,45,"-4,26%"
El Salvador [+],115º,34,"-5,56%"
Siria [+],178º,13,"-7,14%"
Suazilandia [+],122º,32,"-3,03%"
Chad [+],164º,20,"-4,76%"
Togo [+],128º,30,"3,45%"
Tailandia [+],110º,35,"-2,78%"
Tayikistán [+],150º,25,0
Timor Oriental [+],82º,41,"2,50%"
Turkmenistán [+],169º,19,0
Túnez [+],70º,44,0
Turquía [+],96º,38,"-5,00%"
Trinidad y Tobago [+],82º,41,"2,50%"
Taiwan [+],25º,68,"4,62%"
Tanzania [+],87º,39,"2,63%"
Ucrania [+],122º,32,"-3,03%"
Uganda [+],144º,27,0
Uruguay [+],18º,73,"2,82%"
Uzbekistán [+],140º,28,"7,69%"
San Vicente y las Granadinas [+],36º,59,0
Venezuela [+],177º,14,"-6,67%"
Vietnam [+],87º,39,"8,33%"
Vanuatu [+],66º,45,"4,65%"
Yemen [+],174º,16,"6,67%"
Sudáfrica [+],70º,44,0
Zambia [+],117º,33,0
Zimbabue [+],157º,23,"-4,17%"
